Date,Open,High,Low,Close,Adj Close,Volume
2016-06-16,96.449997,97.75,96.07,95.71701800000001,97.550003,31326800
2016-06-17,96.620003,96.650002,95.300003,93.53872700000001,95.33000200000001,61008200
2016-06-20,96.0,96.57,95.029999,93.31304899999999,95.099998,34411900
2016-06-21,94.940002,96.349998,94.68,94.107834,95.910004,35546400
2016-06-22,96.25,96.889999,95.349998,93.754601,95.550003,29219100
2016-06-23,95.940002,96.290001,95.25,94.294258,96.099998,32240200
2016-06-24,92.910004,94.660004,92.650002,91.644997,93.400002,75311400
2016-06-27,93.0,93.050003,91.5,90.31055500000001,92.040001,45489600
2016-06-28,92.900002,93.660004,92.139999,91.83142099999999,93.589996,40444900
2016-06-29,93.970001,94.550003,93.629997,92.626205,94.400002,36531000
2016-06-30,94.440002,95.769997,94.300003,93.80365,95.599998,35836400
2016-07-01,95.489998,96.470001,95.33000200000001,94.08820300000001,95.889999,26026500
2016-07-05,95.389999,95.400002,94.459999,93.205109,94.989998,27705200
2016-07-06,94.599998,95.660004,94.370003,93.73496999999999,95.529999,30949100
2016-07-07,95.699997,96.5,95.620003,94.137268,95.940002,25139600
2016-07-08,96.489998,96.889999,96.050003,94.863365,96.68,28912100
2016-07-11,96.75,97.650002,96.730003,95.15772199999999,96.980003,23794900
2016-07-12,97.16999799999999,97.699997,97.120003,95.589455,97.41999799999999,24167500
2016-07-13,97.410004,97.66999799999999,96.839996,95.049797,96.870003,25892200
2016-07-14,97.389999,98.989998,97.32,96.933723,98.790001,38919000
2016-07-15,98.91999799999999,99.300003,98.5,96.92390400000001,98.779999,30137000
2016-07-18,98.699997,100.129997,98.599998,97.95416999999999,99.83000200000001,36493900
2016-07-19,99.559998,100.0,99.339996,97.99342299999999,99.870003,23779900
2016-07-20,100.0,100.459999,99.739998,98.081734,99.959999,26276000
2016-07-21,99.83000200000001,101.0,99.129997,97.561691,99.43,32702000
2016-07-22,99.260002,99.300003,98.309998,96.80615999999999,98.660004,28313700
2016-07-25,98.25,98.839996,96.91999799999999,95.51095600000001,97.339996,40382900
2016-07-26,96.82,97.970001,96.41999799999999,94.853554,96.66999799999999,56239800
2016-07-27,104.269997,104.349998,102.75,101.015549,102.949997,92344800
2016-07-28,102.83000200000001,104.449997,102.82,102.379417,104.339996,39869800
2016-07-29,104.190002,104.550003,103.68,102.251869,104.209999,27733700
2016-08-01,104.410004,106.150002,104.410004,104.05729699999999,106.050003,38167900
2016-08-02,106.050003,106.07,104.0,102.5168,104.480003,33816600
2016-08-03,104.809998,105.839996,104.769997,103.802185,105.790001,30202600
2016-08-04,105.58000200000001,106.0,105.279999,104.443428,105.870003,27408700
2016-08-05,106.269997,107.650002,106.18,106.031723,107.480003,40553400
2016-08-08,107.519997,108.370003,107.160004,106.909737,108.370003,28037200
2016-08-09,108.230003,108.940002,108.010002,107.34381100000002,108.809998,26315200
2016-08-10,108.709999,108.900002,107.760002,106.544724,108.0,24008500
2016-08-11,108.519997,108.93,107.849998,106.47566200000001,107.93,27484500
2016-08-12,107.779999,108.440002,107.779999,106.722298,108.18,18660400
2016-08-15,108.139999,109.540001,108.08000200000001,108.004776,109.480003,25868200
2016-08-16,109.629997,110.230003,109.209999,107.90612,109.379997,33794400
2016-08-17,109.099998,109.370003,108.339996,107.748291,109.220001,25356000
2016-08-18,109.230003,109.599998,109.019997,107.610176,109.08000200000001,21984700
2016-08-19,108.769997,109.690002,108.360001,107.886398,109.360001,25368100
